Georgiy,Sidorov,Davidovich,1998.10.12,SidorovGeorgiy1998@google.com,TRUE
Tatyana,Fedotova,Nikolaevna,1980.1.17,FedotovaTatyana1980@google.com,FALSE
Sergey,Belov,Davidovich,1996.4.12,BelovSergey1996@mail.ru,FALSE
Oleg,Fedotov,Nikolaevich,1999.3.13,FedotovOleg1999@yandex.ru,TRUE
Lev,Ershov,Zaharovich,1990.9.6,ErshovLev1990@google.com,FALSE
Oleg,Lebedev,Sergeevich,1990.6.24,LebedevOleg1990@mail.ru,TRUE
Nikolay,Sokolov,Alexeyevich,1997.9.21,SokolovNikolay1997@yandex.ru,TRUE
Oleg,Lazarev,Ivanovich,1981.2.11,LazarevOleg1981@mail.ru,TRUE
Violetta,Sokolova,Alexeyevna,1988.10.12,SokolovaVioletta1988@google.com,TRUE
Nikita,Ershov,Alexeyevich,1995.10.1,ErshovNikita1995@mail.ru,FALSE
Yulia,Popova,Petrovna,1994.4.6,PopovaYulia1994@yandex.ru,FALSE
Petr,Lebedev,Maksimovich,1984.11.14,LebedevPetr1984@google.com,TRUE
Violetta,Popova,Gennadievna,1981.10.6,PopovaVioletta1981@yandex.ru,FALSE
Oleg,Popov,Nikolaevich,1983.11.4,PopovOleg1983@yandex.ru,TRUE
Philipp,Sokolov,Aleksandrovich,1996.8.19,SokolovPhilipp1996@yandex.ru,TRUE
Nikita,Popov,Aleksandrovich,1983.3.6,PopovNikita1983@mail.ru,FALSE
Tatyana,Osipova,Davidovna,1999.1.6,OsipovaTatyana1999@google.com,FALSE
Pavel,Fedotov,Nikolaevich,1991.3.2,FedotovPavel1991@yandex.ru,TRUE
Violetta,Fedotova,Sergeevna,1991.2.8,FedotovaVioletta1991@yandex.ru,TRUE
Larisa,Lazareva,Maksimovna,1991.2.25,LazarevaLarisa1991@mail.ru,TRUE
Nikolay,Ershov,Zaharovich,1993.1.28,ErshovNikolay1993@yandex.ru,TRUE
Petr,Sokolov,Ivanovich,1984.8.23,SokolovPetr1984@yandex.ru,TRUE
Lev,Sokolov,Maksimovich,1982.12.18,SokolovLev1982@google.com,TRUE
Pavel,Belov,Maksimovich,1993.9.23,BelovPavel1993@mail.ru,FALSE
Pavel,Bogdanov,Nikolaevich,1990.5.27,BogdanovPavel1990@yandex.ru,FALSE
Ivan,Lebedev,Vasilievich,1995.7.11,LebedevIvan1995@google.com,FALSE
Violetta,Fedotova,Ivanovna,1989.6.20,FedotovaVioletta1989@mail.ru,TRUE
Dasha,Belova,Nikolaevna,1993.1.18,BelovaDasha1993@yandex.ru,TRUE
Yulia,Belova,Petrovna,1984.6.27,BelovaYulia1984@yandex.ru,FALSE
Nikolay,Popov,Gennadievich,1991.11.11,PopovNikolay1991@mail.ru,FALSE
Alexey,Sokolov,Gennadievich,1987.1.7,SokolovAlexey1987@mail.ru,FALSE
Yulia,Ershova,Aleksandrovna,1988.1.26,ErshovaYulia1988@yandex.ru,FALSE
Valeria,Sidorova,Sergeevna,1997.7.6,SidorovaValeria1997@mail.ru,FALSE
Oksana,Semenova,Aleksandrovna,1998.8.2,SemenovaOksana1998@mail.ru,TRUE
Elena,Lazareva,Nikolaevna,1980.9.24,LazarevaElena1980@google.com,FALSE
Sergey,Belov,Nikolaevich,1997.12.17,BelovSergey1997@mail.ru,FALSE
Pavel,Zuev,Aleksandrovich,1986.3.3,ZuevPavel1986@google.com,TRUE
Lev,Osipov,Petrovich,1992.3.24,OsipovLev1992@mail.ru,TRUE
Larisa,Sokolova,Sergeevna,1987.4.7,SokolovaLarisa1987@mail.ru,FALSE
Alexey,Zuev,Nikolaevich,1988.3.8,ZuevAlexey1988@mail.ru,FALSE
Nikolay,Semenov,Nikolaevich,1980.11.8,SemenovNikolay1980@mail.ru,TRUE
Eva,Popova,Davidovna,1992.4.21,PopovaEva1992@yandex.ru,FALSE
